margined_safety_distance (x), current_s (y), target_v (z), CS.vEgo (w)
13.0, 43.781049253523854, 0.0, 1.6931458711624146
13.0, 43.608441807918915, 0.0, 1.6912726163864136
13.0, 43.45895526368904, 0.0, 1.6868938207626343
13.0, 43.28473507091547, 0.0, 1.6820470094680786
13.0, 43.130357971346605, 0.0, 1.6784188747406006
13.0, 43.03149543387232, 0.0, 1.6747334003448486
13.0, 42.85222501425178, 0.0, 1.670930027961731
13.0, 42.68532703172209, 0.0, 1.6683297157287598
13.0, 42.507285748329, 0.0, 1.666650652885437
13.0, 42.39503747109029, 0.0, 1.6644178628921509
13.0, 42.190043526685315, 0.0, 1.6616697311401367
13.0, 42.040648617266754, 0.0, 1.658401608467102
13.0, 41.88363421055847, 0.0, 1.655892014503479
13.0, 41.7507230840539, 0.0, 1.6513018608093262
13.0, 41.59526399311756, 0.0, 1.6487078666687012
13.0, 41.4247790083205, 0.0, 1.6446421146392822
13.0, 41.282836398621704, 0.0, 1.6396970748901367
13.0, 41.12817143933383, 0.0, 1.6343895196914673
13.0, 40.97446270445533, 0.0, 1.6280887126922607
13.0, 40.81944493049719, 0.0, 1.6228874921798706
13.0, 40.66425611322368, 0.0, 1.6179261207580566
13.0, 40.48646456785316, 0.0, 1.6132879257202148
13.0, 40.35942760630292, 0.0, 1.6095764636993408
13.0, 40.19656156093025, 0.0, 1.6039754152297974
13.0, 40.03390107919511, 0.0, 1.600117802619934
13.0, 40.17512506237559, 13.88888888888889, 1.597381591796875
13.0, 40.551419380011346, 13.88888888888889, 1.593453288078308
13.0, 40.93811697996672, 13.88888888888889, 1.5902451276779175
13.0, 41.32508924707815, 13.88888888888889, 1.5866801738739014
13.0, 41.7129812394119, 13.88888888888889, 1.583354115486145
13.0, 42.076296158206276, 13.88888888888889, 1.579813003540039
13.0, 42.48420567775218, 13.88888888888889, 1.577021837234497
13.0, 42.86697195885761, 13.88888888888889, 1.5723789930343628
13.0, 43.25870564186011, 13.88888888888889, 1.5681825876235962
13.0, 43.717771428237455, 13.88888888888889, 1.5626946687698364
13.0, 44.08974187576496, 13.88888888888889, 1.5583837032318115
13.0, 44.299071859881515, 13.88888888888889, 1.5535155534744263
13.0, 44.859661559916695, 13.88888888888889, 1.548875093460083
13.0, 45.2280409651052, 13.88888888888889, 1.5444390773773193
13.0, 45.490022988592614, 13.88888888888889, 1.5400092601776123
13.0, 46.00003058267956, 13.88888888888889, 1.534661054611206
13.0, 46.449822199724544, 13.88888888888889, 1.5320184230804443
13.0, 46.82639692052557, 13.88888888888889, 1.526808738708496
13.0, 47.11464092903165, 13.88888888888889, 1.5225642919540405
13.0, 47.588533153598156, 13.88888888888889, 1.5192515850067139
13.0, 47.97905094186198, 13.88888888888889, 1.5150567293167114
13.0, 48.335445556779604, 13.88888888888889, 1.5110479593276978
13.0, 48.67636355458439, 13.88888888888889, 1.5078908205032349
13.0, 49.071731563757865, 13.88888888888889, 1.5032202005386353
13.0, 49.46774914347156, 13.88888888888889, 1.4985811710357666
13.0, 49.86473369897066, 13.88888888888889, 1.4948309659957886
13.0, 50.073870016604516, 13.88888888888889, 1.4913116693496704
13.0, 50.72450385591445, 13.88888888888889, 1.4877933263778687
13.0, 51.1396883722686, 13.88888888888889, 1.4842251539230347
13.0, 51.49859619087785, 13.88888888888889, 1.480778455734253
13.0, 51.93918702944438, 13.88888888888889, 1.3991022109985352
13.0, 52.40442625644021, 13.88888888888889, 1.4038748741149902
13.0, 52.727939361377295, 13.88888888888889, 1.4641926288604736
13.0, 53.07109944719408, 13.88888888888889, 1.5803320407867432
13.0, 53.4282752851742, 13.88888888888889, 1.724928617477417
13.0, 53.78170587216314, 13.88888888888889, 2.008876323699951
13.0, 54.114322610430506, 13.88888888888889, 2.222618579864502
13.0, 54.391075560500106, 13.88888888888889, 2.499640464782715
13.0, 54.666794722350936, 13.88888888888889, 2.823697805404663
13.0, 54.898005750774885, 13.88888888888889, 3.0409820079803467
13.0, 55.0557948978358, 13.88888888888889, 3.296743154525757
13.0, 55.325809339776605, 13.88888888888889, 3.557523012161255
13.0, 55.54510068101963, 13.88888888888889, 3.816397190093994
13.0, 55.68955277930355, 13.88888888888889, 4.026125907897949
13.0, 55.73250364156094, 13.88888888888889, 4.1663818359375
13.0, 55.841646384175064, 13.88888888888889, 4.363641738891602
13.0, 55.90834899444427, 13.88888888888889, 4.517597198486328
13.0, 56.004626802518736, 13.88888888888889, 4.60883903503418
13.0, 56.072993659633006, 13.88888888888889, 4.833322525024414
13.0, 56.12311257962884, 13.88888888888889, 4.970738410949707
13.0, 56.162799148299136, 13.88888888888889, 5.116128444671631
13.0, 56.173705824906754, 13.88888888888889, 5.349259376525879
13.0, 56.16909281789447, 13.88888888888889, 5.562322616577148
13.0, 56.14007905599209, 13.88888888888889, 5.795713901519775
13.0, 56.06764093207495, 13.88888888888889, 6.045418739318848
13.0, 55.98045097615548, 13.88888888888889, 6.298557281494141
13.0, 55.86857461907662, 13.88888888888889, 6.551289081573486
13.0, 55.75781997425868, 13.88888888888889, 6.80668306350708
13.244841384887696, 55.54609365779711, 13.88888888888889, 7.012455940246582
14.542470932006836, 55.400196853960345, 13.88888888888889, 7.372908592224121
15.46666145324707, 55.19656435151572, 13.88888888888889, 7.6296281814575195
16.38761615753174, 54.95766329339172, 13.88888888888889, 7.885448932647705
17.303826141357423, 54.62290203995471, 13.88888888888889, 8.139951705932617
18.07272834777832, 54.36304640661201, 13.88888888888889, 8.353535652160645
18.868135070800783, 54.00082525841417, 13.88888888888889, 8.574481964111328
20.817288208007817, 53.574602458209945, 13.88888888888889, 9.115913391113281
22.675172424316408, 53.107979395771, 13.88888888888889, 9.63199234008789
24.21937294006348, 52.62569444370344, 13.88888888888889, 10.06093692779541
25.405195999145512, 52.35939605425207, 13.88888888888889, 10.390332221984863
26.33847770690918, 51.834345546249, 13.88888888888889, 10.649577140808105
27.27244262695313, 51.07401140573969, 13.88888888888889, 10.909011840820312
28.91008186340332, 50.489933364587806, 12.822150635119804, 11.363911628723145
