timestamp,data,timestamps
1700200146.4519632,"[339.3357442844873, 989.0731874012199, 134.89143540304218]"
1700200146.5021598,"[339.133959852703, 989.2764822451738, 134.61179172542415]"
1700200146.552102,"[338.9999555261215, 989.4125861700641, 134.42621078190172]"
1700200146.60728,"[338.7997560878981, 989.6172850259798, 134.14898578074684]"
1700200146.6517143,"[338.6669898886229, 989.7544836043032, 133.9680772168103]"
1700200146.7016945,"[338.46897232865007, 989.9614328093845, 133.7061644981938]"
1700200146.7520225,"[338.3375534460779, 990.0999739010358, 133.53473427740226]"
1700200146.8017652,"[338.14110492754133, 990.3084283067279, 133.27818922675397]"
1700200146.8521385,"[338.0105343078267, 990.447774541904, 133.10350081803608]"
1700200146.9016562,"[337.81527766006855, 990.6572921741813, 132.83577587502464]"
1700200146.9575171,"[337.68554035071213, 990.797374509369, 132.655436799752]"
1700200147.002273,"[337.4917169166407, 991.00817833631, 132.38525977547312]"
1700200147.0517852,"[337.3630970598558, 991.1492736127333, 132.20847526439576]"
1700200147.1021376,"[337.17099888145873, 991.3617786403047, 131.95296321597664]"
1700200147.1518793,"[336.9798728126686, 991.5751444313617, 131.709144247126]"
1700200147.2025125,"[336.8530685876787, 991.7179726912007, 131.55160014232933]"
1700200147.2518888,"[336.72676318450146, 991.8612627435241, 131.39325169675328]"
1700200147.3228571,"[336.53813160265986, 992.0770457098331, 131.15545971051864]"
1700200147.3516989,"[336.41278347698255, 992.2212875571341, 130.99802337328697]"
1700200147.4017768,"[336.35022407182134, 992.2935042840757, 130.9196180245359]"
1700200147.4521084,"[336.10092033847707, 992.5831957531343, 130.5995605065952]"
1700200147.5175455,"[335.9146558675972, 992.8011562240132, 130.35824459146187]"
1700200147.5520003,"[335.7909730648959, 992.9470112736658, 130.19783575338704]"
1700200147.601809,"[335.6061804180637, 993.1663357317067, 129.96129786859427]"
1700200147.6571598,"[335.4835602178059, 993.3130887325221, 129.80264222664584]"
1700200147.707365,"[335.3004165605587, 993.5340164467952, 129.56182809360837]"
1700200147.7524369,"[335.17874966942816, 993.681715555259, 129.39921366595627]"
1700200147.8074248,"[334.9969182641778, 993.9038517000606, 129.1489182582839]"
1700200147.8521512,"[334.87620199569676, 994.05242558027, 128.97379882892307]"
1700200147.9125094,"[334.69588872652355, 994.2760689664051, 128.69705708646563]"
1700200147.9575405,"[334.57619260432773, 994.4255611737764, 128.507351717152]"
1700200148.001728,"[334.3974547290734, 994.6504376978087, 128.22228817799635]"
1700200148.052057,"[334.278887181088, 994.8009470870011, 128.03016799218045]"
1700200148.1018982,"[334.10218494563395, 995.0277559739942, 127.73979571953693]"
1700200148.1520698,"[333.9850833002267, 995.1796244793061, 127.54394626553808]"
1700200148.2016819,"[333.8104031562905, 995.4081689629662, 127.24300234206721]"
1700200148.2518518,"[333.694625502861, 995.5611194757939, 127.03981699190162]"
